location,cluster,count
intergenic,1,3849
intergenic,2,248
intergenic,3,323
intergenic,4,12593
intergenic,5,708
intron,1,4224
intron,2,232
intron,3,332
intron,4,9698
intron,5,415
exon,1,264
exon,2,32
exon,3,60
exon,4,658
exon,5,19
tss,1,483
tss,2,1740
tss,3,514
tss,4,2467
tss,5,55
intron*exon,1,565
intron*exon,2,67
intron*exon,3,112
intron*exon,4,1770
intron*exon,5,36
