location,cluster,count
intergenic,1,54
intergenic,2,607
intergenic,3,12423
intergenic,4,3726
intergenic,5,589
intergenic,6,322
intron,1,49
intron,2,364
intron,3,9546
intron,4,4154
intron,5,458
intron,6,330
exon,1,10
exon,2,18
exon,3,634
exon,4,252
exon,5,59
exon,6,60
tss,1,587
tss,2,38
tss,3,1823
tss,4,417
tss,5,1882
tss,6,512
intron*exon,1,23
intron*exon,2,33
intron*exon,3,1732
intron*exon,4,544
intron*exon,5,110
intron*exon,6,108
